Time,Execution Time
0.686840278,3.167850971
0.686863426,0.912466764
0.686886574,1.013921022
0.686909722,0.944200039
0.68693287,0.916643858
0.686956019,1.039025068
0.686979167,1.026223183
0.687025463,1.037695408
0.687048611,1.04251194
0.687071759,1.032224178
0.687094907,0.947743893
0.687118056,1.017580032
0.687141204,1.015492916
0.687164352,1.00150466
0.6871875,0.933030844
0.687210648,0.971382141
0.687233796,1.045273066
0.687256944,1.025064945
0.687280093,1.031693935
0.687303241,0.921580076
0.687326389,1.032923222
0.687349537,0.931968927
0.687372685,0.879527092
0.687395833,0.966291189
0.687418981,1.006734133
0.68744213,1.01149106
0.687465278,1.033985138
0.687488426,0.879186869
0.687511574,0.979684114
0.687534722,1.032572269
0.68755787,1.039070129
0.687581019,1.025974035
0.687604167,1.054933071
0.687627315,0.904889107
0.687650463,1.033658266
0.687673611,0.930116892
0.687696759,1.054764032
0.687719907,1.07685709
0.687743056,1.039009809
0.687766204,0.933187723
0.687789352,1.031620026
0.6878125,1.03441
0.687835648,0.92367506
0.687858796,0.940910101
0.687881944,0.931916952
0.687905093,0.962926865
0.687928241,0.92643714
0.687951389,0.917159081
0.687974537,1.035822868
0.687997685,0.883470058
0.688020833,1.066001177
0.688043981,1.031393051
0.68806713,1.03302598
0.688090278,0.927689075
0.688113426,0.931078911
0.688136574,1.023409128
0.688159722,1.032449722
0.68818287,1.031480074
0.688206019,0.935809851
0.688229167,1.031424999
0.688252315,0.92163682
0.688275463,1.033916712
0.688298611,1.026643991
0.688321759,1.031960726
0.688344907,1.032685041
0.688368056,1.030615091
0.688402778,1.18118906
0.688425926,1.015075922
0.688449074,0.950165033
0.688472222,1.025090694
0.68849537,0.951013088
0.688518519,0.916687012
0.688541667,1.033993959
0.688564815,1.340078831
0.688587963,0.928920984
0.688611111,1.026990175
0.688634259,1.038977146
0.688657407,0.983859062
0.688680556,0.921624899
0.688703704,0.940931082
0.688726852,0.939800024
0.68875,0.974738836
0.688773148,0.913892984
0.68880787,1.54987216
0.688831019,1.033582926
0.688854167,0.936893225
0.688877315,1.023951292
0.688900463,1.03669405
0.688923611,1.024539948
0.688946759,0.936714888
0.688969907,0.98016119
0.688993056,1.042733908
0.689016204,1.036765099
0.689039352,1.03511095
0.6890625,0.970733881
0.689085648,1.10421896
0.689108796,1.040940046
0.689143519,1.035167933
0.689155093,0.927953005
0.689189815,1.036192179
0.689212963,0.921940088
0.689236111,0.932625771
0.689259259,0.930406094
0.689282407,1.035233021
0.689305556,0.954556942
0.689328704,0.98133564
0.689351852,0.972442865
0.689375,0.929420948
0.689398148,1.015428066
0.689421296,1.031708956
0.689444444,1.019200087
0.689467593,0.916813135
0.689490741,1.032252789
0.689513889,1.018339157
0.689537037,0.928103924
0.689560185,1.031356335
0.689583333,1.031480074
0.689606481,0.933744907
0.68962963,1.034259796
0.689652778,0.915942907
0.689675926,0.934296131
0.689699074,0.933588982
0.689722222,1.031614065
0.68974537,1.032571793
0.689768519,1.140174866
0.689791667,1.048466921
0.689814815,0.978842735
0.689849537,1.066816092
0.689861111,0.928774834
0.689895833,1.013449907
0.689918981,1.023272991
0.68994213,1.137611151
0.689965278,1.032236099
0.689988426,0.985569954
0.690011574,1.078055859
0.690034722,0.995410919
0.69005787,0.931686163
0.690081019,0.923204899
0.690104167,1.035632849
0.690127315,0.870164156
0.690150463,1.096930981
0.690173611,0.94507432
0.690196759,0.968845129
0.690219907,0.99475193
0.690243056,0.93170619
0.690266204,1.023804903
0.690289352,0.929581881
0.6903125,0.8981359
0.690335648,0.984795332
0.690358796,0.972862959
0.690381944,0.926463842
0.690405093,0.960166931
0.690428241,0.917418003
0.690439815,0.924304962
0.690474537,1.03371191
0.690497685,1.034754038
0.690520833,1.07545805
0.690543981,0.933615923
0.69056713,0.902320862
0.690590278,0.914350033
0.690613426,1.059566021
0.690636574,1.020341873
0.690659722,1.009115696
0.69068287,0.95512104
0.690706019,1.086701632
0.690729167,0.923434973
0.690752315,1.032843113
0.690775463,0.914529085
0.690798611,1.025391102
0.690821759,0.879596949
0.690844907,0.942916155
0.690868056,1.082740068
0.690891204,1.016935825
0.690914352,1.030663013
0.6909375,1.026728868
0.690960648,1.039028883
0.690983796,0.921617985
0.691006944,0.940477848
0.691030093,0.882050037
0.691053241,0.994761944
0.691076389,0.927743912
0.691099537,1.122984171
0.691122685,1.035603285
0.691145833,1.033695936
0.691168981,0.959064007
0.69119213,1.066117048
0.691215278,1.01920104
0.691238426,1.030426025
